"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","Bin","BinLower","BinUpper","N","Coverage","MeanConfidence","Accuracy","AbsCalibrationError"
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",1,"full",8,10,0.9,1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,8,0.7,0.8,3,0.1875,0.8,0,0.8
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,9,0.8,0.9,5,0.3125,0.88,1,0.12
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,10,0.9,1,8,0.5,0.95,1,0.05
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,8,0.7,0.8,3,0.1875,0.8,0,0.8
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,9,0.8,0.9,5,0.3125,0.88,1,0.12
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,10,0.9,1,8,0.5,0.95,1,0.05
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
